"filename", "language", "Ini", "C++", "comment", "blank", "total"
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\include\IRConstants.h", "C++", 0, 5, 0, 1, 6
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\include\configuration.h", "C++", 0, 8, 15, 3, 26
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\include\configurationBackend.h", "C++", 0, 6, 0, 3, 9
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRDecoder.cpp", "C++", 0, 90, 9, 20, 119
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRDecoder.hpp", "C++", 0, 16, 58, 8, 82
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IREncoder.cpp", "C++", 0, 166, 12, 42, 220
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IREncoder.hpp", "C++", 0, 28, 54, 8, 90
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolEnum.hpp", "C++", 0, 7, 0, 2, 9
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolFactory.cpp", "C++", 0, 21, 0, 4, 25
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolFactory.hpp", "C++", 0, 8, 0, 3, 11
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolSettings.cpp", "C++", 0, 13, 0, 5, 18
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolSettings.hpp", "C++", 0, 32, 0, 6, 38
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolsSettings\CustomProtocolSettings.hpp", "C++", 0, 27, 0, 5, 32
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolsSettings\LTTOProtocolSettings.hpp", "C++", 0, 27, 0, 5, 32
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolsSettings\NECProtocolSettings.hpp", "C++", 0, 27, 0, 5, 32
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRProtocols\IRProtocolsSettings\SamsungProtocolSettings.hpp", "C++", 0, 27, 0, 5, 32
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRReceiver.cpp", "C++", 0, 161, 8, 39, 208
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRReceiver.hpp", "C++", 0, 38, 66, 12, 116
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRTransmitter.cpp", "C++", 0, 207, 11, 41, 259
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\IRLib\IRTransmitter.hpp", "C++", 0, 39, 46, 12, 97
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\LaserTagGunTest\GunMain.cpp", "C++", 0, 0, 0, 1, 1
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\LaserTagGunTest\LaserTagGun.cpp", "C++", 0, 78, 13, 16, 107
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\lib\LaserTagGunTest\LaserTagGun.hpp", "C++", 0, 30, 92, 9, 131
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\platformio.ini", "Ini", 27, 0, 15, 4, 46
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\Bluetooth\BT.cpp", "C++", 0, 108, 7, 17, 132
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\Bluetooth\BT.h", "C++", 0, 15, 0, 4, 19
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\Bluetooth\InputType.h", "C++", 0, 9, 1, 2, 12
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GameMechanics\Game.cpp", "C++", 0, 53, 14, 13, 80
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GameMechanics\Game.h", "C++", 0, 15, 0, 4, 19
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GameMechanics\GameManager.cpp", "C++", 0, 31, 7, 8, 46
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GameMechanics\GameManager.h", "C++", 0, 6, 0, 3, 9
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GameMechanics\GameMode.h", "C++", 0, 8, 1, 2, 11
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GeneralFunctions\utils.cpp", "C++", 0, 29, 1, 6, 36
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\GeneralFunctions\utils.h", "C++", 0, 13, 1, 4, 18
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\Decoder.cpp", "C++", 0, 64, 0, 15, 79
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\Decoder.h", "C++", 0, 18, 0, 4, 22
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\Encoder.cpp", "C++", 0, 48, 6, 20, 74
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\Encoder.h", "C++", 0, 15, 0, 5, 20
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\IProtocolSettings.cpp", "C++", 0, 13, 0, 5, 18
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\IRReceiver.cpp", "C++", 0, 82, 14, 18, 114
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\IRReceiver.h", "C++", 0, 19, 0, 6, 25
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\IRTransmitter.cpp", "C++", 0, 52, 6, 11, 69
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\IRTransmitter.h", "C++", 0, 17, 0, 5, 22
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\irInitFunctions.cpp", "C++", 0, 40, 0, 8, 48
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\IR\irInitFunctions.h", "C++", 0, 16, 1, 4, 21
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\src\main.cpp", "C++", 0, 23, 4, 9, 36
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\test\test_embedded\test_embedded_setup.cpp", "C++", 0, 15, 0, 5, 20
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\test\test_embedded\test_example.cpp", "C++", 0, 15, 0, 3, 18
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\test\test_native\test_decoder_helper_functions.cpp", "C++", 0, 75, 3, 12, 90
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\test\test_native\test_example.cpp", "C++", 0, 4, 0, 2, 6
"c:\Users\razib\Desktop\Projects\Old Computer Projects\Laser Tag\laser-tag\project-name\test\test_native\test_native_setup.cpp", "C++", 0, 5, 0, 2, 7
"Total", "-", 27, 1869, 465, 456, 2817
